GeneID	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Plastic.rep1	Plastic.rep2	Matrigel.rep1	Matrigel.rep2	Plastic.TPM	Matrigel.TPM
ENSG00000293037	ENSG00000293037	912.3554	4.3687	0.1331	32.8123	3.937E-236	1.258E-233	78.7066	89.9550	1810.6424	1670.1176	0.30	0.04
ENSG00000005483	KMT2E	1003.9574	5.4414	0.1672	32.5417	2.743E-232	8.401E-230	38.8552	51.6983	1964.2844	1960.9916	32.93	11.60
ENSG00000175471	MCTP1	891.2173	4.4078	0.1357	32.4774	2.222E-231	6.282E-229	73.7252	86.8531	1770.7732	1633.5176	8.43	3.73
ENSG00000133302	SLF1	891.2173	4.4078	0.1357	32.4774	2.222E-231	6.282E-229	73.7252	86.8531	1770.7732	1633.5176	2.50	1.92
ENSG00000248309	MEF2C-AS1	1041.1188	3.0911	0.0964	32.0648	1.365E-225	3.716E-223	218.1867	219.2006	1886.4910	1840.5968	3.22	0.73
ENSG00000160305	DIP2A	1206.3118	6.2904	0.1978	31.7978	6.952E-222	1.825E-219	36.8626	23.7812	2412.5691	2352.0342	28.85	10.27
ENSG00000223874	TESHL	988.4246	5.6138	0.1771	31.6909	2.070E-220	5.248E-218	48.8180	29.9850	1933.1670	1941.7285	0.15	0.07
ENSG00000169282	KCNAB1	834.4671	4.5798	0.1446	31.6744	3.503E-220	8.582E-218	63.7623	70.3096	1653.1106	1550.6859	1.80	3.28
ENSG00000243797	AC004917.1	1097.4593	-6.1971	0.1979	-31.3193	2.550E-215	6.045E-213	2255.5923	2075.1680	34.0346	25.0421	0.09	0.00
ENSG00000188107	EYS	750.6231	-3.9222	0.1270	-30.8791	2.278E-209	5.232E-207	1445.6115	1371.0377	96.2694	89.5738	0.01	0.01
ENSG00000106034	CPED1	818.2129	4.7841	0.1550	30.8620	3.861E-209	8.599E-207	65.7549	48.5964	1650.1934	1508.3069	3.37	1.23
ENSG00000075884	ARHGAP15	741.5362	-4.1448	0.1345	-30.8167	1.565E-208	3.384E-206	1444.6152	1362.7660	84.6004	74.1632	1.60	0.74
ENSG00000155849	ELMO1	843.3864	-3.2526	0.1058	-30.7539	1.084E-207	2.276E-205	1535.2772	1517.8608	168.2283	152.1791	5.37	1.95
ENSG00000088854	DNAAF9	753.2239	-4.8693	0.1595	-30.5313	1.002E-204	2.045E-202	1489.4481	1423.7700	49.5933	50.0843	9.68	2.35
ENSG00000287916	ENSG00000287916	758.5119	4.4360	0.1458	30.4222	2.791E-203	5.544E-201	63.7623	70.3096	1507.2479	1392.7278	0.00	0.05
ENSG00000159216	RUNX1	1162.5746	-6.6009	0.2171	-30.4119	3.822E-203	7.392E-201	2361.1986	2241.6364	28.2001	19.2632	5.82	7.94
ENSG00000147481	SNTG1	729.0397	-4.7917	0.1582	-30.2969	1.258E-201	2.371E-199	1419.7080	1394.8189	52.5106	49.1211	0.23	0.18
ENSG00000080224	EPHA6	843.9141	5.3991	0.1787	30.2083	1.844E-200	3.389E-198	37.8589	40.3246	1679.3659	1618.1070	0.00	0.00
ENSG00000116117	PARD3B	1654.3489	7.4146	0.2456	30.1841	3.827E-200	6.860E-198	20.9220	17.5774	3493.8980	3084.9981	3.20	0.80
ENSG00000038382	TRIO	1754.0037	-7.7296	0.2567	-30.1084	3.757E-199	6.575E-197	3616.5194	3366.5904	16.5311	16.3737	40.88	14.31
ENSG00000242588	AC108010.1	740.3450	4.1563	0.1387	29.9565	3.624E-197	6.195E-195	83.6881	73.4115	1471.2685	1333.0120	12.16	2.80
ENSG00000185634	SHC4	714.0469	4.0334	0.1358	29.7074	6.167E-194	1.030E-191	83.6881	80.6493	1397.3647	1294.4856	17.43	4.89
ENSG00000251314	LOC101929710	804.9658	-3.1686	0.1073	-29.5252	1.367E-191	2.232E-189	1494.4295	1403.0907	169.2007	153.1423	0.14	0.00
ENSG00000108684	ASIC2	679.2932	-4.2301	0.1436	-29.4568	1.029E-190	1.644E-188	1231.4099	1348.2905	73.9038	63.5685	0.00	0.00
ENSG00000078142	PIK3C3	663.1318	-4.2711	0.1455	-29.3629	1.636E-189	2.558E-187	1281.2242	1240.7581	54.4554	76.0896	39.19	30.69
ENSG00000231918	NRXN1-DT	757.3386	3.3246	0.1139	29.1990	1.997E-187	3.058E-185	144.4615	130.2796	1413.8958	1340.7173	0.03	0.00
ENSG00000101846	STS	781.5748	3.1493	0.1080	29.1664	5.179E-187	7.768E-185	152.4318	164.4005	1409.0337	1400.4331	1.60	1.55
ENSG00000124486	USP9X	650.8561	-4.0122	0.1376	-29.1583	6.558E-187	9.640E-185	1259.3059	1192.1618	77.7934	74.1632	32.88	15.07
ENSG00000163491	NEK10	716.2210	-5.1335	0.1769	-29.0272	2.985E-185	4.302E-183	1450.5929	1334.8490	48.6209	30.8211	0.39	0.02
ENSG00000095002	MSH2	802.1204	5.5521	0.1917	28.9697	1.586E-184	2.241E-182	39.8515	26.8831	1610.3243	1531.4227	15.35	10.65
ENSG00000151322	NPAS3	1112.5961	-2.5922	0.0895	-28.9470	3.057E-184	4.239E-182	1890.9515	1926.2770	341.3187	291.8372	1.03	0.36
ENSG00000132932	ATP8A2	710.5169	4.9294	0.1703	28.9461	3.143E-184	4.277E-182	47.8217	42.3926	1427.5097	1324.3436	0.06	0.02
ENSG00000160145	KALRN	658.8567	-4.8057	0.1671	-28.7579	7.212E-182	9.637E-180	1291.1871	1253.1657	56.4002	34.6737	3.42	1.39
ENSG00000171316	CHD7	677.0746	-5.0321	0.1751	-28.7364	1.340E-181	1.759E-179	1349.9680	1277.9809	42.7864	37.5632	19.26	13.76
ENSG00000267134	LINC01924	644.4067	-4.9054	0.1724	-28.4571	3.982E-178	5.134E-176	1245.3579	1249.0299	42.7864	40.4527	0.00	0.00
ENSG00000114098	ARMC8	832.5583	5.8747	0.2077	28.2905	4.524E-176	5.733E-174	30.8849	24.8152	1697.8419	1576.6912	19.75	20.66
ENSG00000187391	MAGI2	1783.2407	-2.2031	0.0780	-28.2466	1.568E-175	1.953E-173	3016.7550	2843.4041	656.3822	616.4217	0.01	0.12
ENSG00000144455	SUMF1	672.5780	-5.2128	0.1848	-28.2037	5.273E-175	6.459E-173	1349.9680	1269.7092	34.0346	36.6000	26.65	23.13
ENSG00000184305	CCSER1	728.7302	3.1718	0.1126	28.1684	1.428E-174	1.721E-172	153.4281	137.5174	1349.7162	1274.2593	0.00	0.00
ENSG00000169946	ZFPM2	723.7807	5.4223	0.1931	28.0811	1.666E-173	1.975E-171	28.8923	37.2227	1438.2063	1390.8015	0.40	0.09
ENSG00000131374	TBC1D5	674.3053	-3.2032	0.1142	-28.0489	4.123E-173	4.810E-171	1226.4285	1206.6373	127.3868	136.7686	37.56	11.04
ENSG00000175600	SUGCT	930.5623	-2.5835	0.0923	-27.9790	2.928E-172	3.363E-170	1605.0173	1585.0685	254.7735	277.3898	5.55	4.05
ENSG00000143919	CAMKMT	615.3061	4.5094	0.1615	27.9242	1.356E-171	1.533E-169	49.8143	53.7662	1196.0742	1161.5697	8.15	4.08
ENSG00000027001	MIPEP	632.5118	4.3571	0.1564	27.8609	7.944E-171	8.846E-169	59.7772	57.9020	1278.7297	1133.6381	13.31	13.14
ENSG00000259345	AC013652.1	880.8902	-2.6448	0.0953	-27.7482	1.833E-169	2.011E-167	1558.1918	1479.6041	237.2700	248.4950	0.23	0.00
ENSG00000288187	ENSG00000288187	880.6415	-6.3863	0.2307	-27.6854	1.048E-168	1.132E-166	1760.4380	1720.5179	20.4208	21.1895	0.62	0.52
ENSG00000121274	TENT4B	764.4720	-5.9298	0.2147	-27.6233	5.843E-168	6.225E-166	1540.2587	1468.2305	29.1725	20.2263	5.93	7.17
ENSG00000143341	HMCN1	617.3246	-3.4943	0.1269	-27.5449	5.100E-167	5.355E-165	1130.7850	1137.3616	85.5728	115.5791	92.17	20.79
ENSG00000136237	RAPGEF5	693.0913	3.0971	0.1136	27.2643	1.124E-163	1.163E-161	157.4132	132.3475	1270.9504	1211.6540	1.75	0.70
ENSG00000139973	SYT16	687.4213	3.1112	0.1144	27.1997	6.556E-163	6.692E-161	138.4838	146.8230	1278.7297	1185.6487	0.00	0.00
ENSG00000185565	LSAMP	629.0102	3.3183	0.1224	27.1197	5.771E-162	5.810E-160	123.5395	105.4644	1164.9568	1122.0802	16.59	9.05
ENSG00000260232	PWRN4	609.0130	3.4441	0.1275	27.0120	1.067E-160	1.060E-158	102.6175	102.3625	1154.2602	1076.8117	0.00	0.00
ENSG00000041515	MYO16	1132.4394	2.5158	0.0934	26.9472	6.158E-160	6.034E-158	371.6148	301.9178	1995.4018	1860.8231	0.23	0.18
ENSG00000185532	PRKG1	1245.9559	-2.2313	0.0829	-26.9248	1.126E-159	1.089E-157	2029.4353	2079.3038	460.9261	414.1584	0.09	0.00
ENSG00000285778	AL591463.1	663.6940	5.4379	0.2028	26.8179	2.001E-158	1.910E-156	33.8737	25.8491	1346.7990	1248.2540	0.03	0.00
ENSG00000173950	XXYLT1	725.8286	-2.8977	0.1086	-26.6841	7.204E-157	6.788E-155	1348.9717	1210.7731	173.0904	170.4791	9.97	9.92
ENSG00000155093	PTPRN2	526.9851	-4.0136	0.1514	-26.5127	6.910E-155	6.429E-153	1018.2046	966.7574	69.0417	53.9369	0.00	0.00
ENSG00000168702	LRP1B	811.1173	2.5803	0.0976	26.4443	4.240E-154	3.895E-152	232.1347	232.6421	1417.7855	1361.9068	0.03	0.00
ENSG00000287722	ENSG00000287722	795.6802	-2.6905	0.1018	-26.4361	5.274E-154	4.786E-152	1361.9234	1393.7850	237.2700	189.7423	0.00	0.00
ENSG00000165084	C8orf34	715.0484	2.8287	0.1077	26.2771	3.505E-152	3.142E-150	193.2795	159.2306	1274.8400	1232.8435	0.00	0.00
ENSG00000131558	EXOC4	536.3608	-3.5005	0.1336	-26.1986	2.755E-151	2.440E-149	996.2863	975.0291	79.7383	94.3896	59.09	29.11
ENSG00000132670	PTPRA	620.2920	-3.1411	0.1201	-26.1646	6.718E-151	5.878E-149	1142.7404	1085.6634	144.8903	107.8738	41.86	24.21
ENSG00000171094	ALK	584.9000	3.3253	0.1273	26.1135	2.562E-150	2.215E-148	91.6583	120.9739	1044.3770	1082.5907	0.54	0.34
ENSG00000204764	RANBP17	589.9918	3.3479	0.1283	26.0996	3.687E-150	3.151E-148	107.5989	103.3965	1129.9497	1019.0222	4.58	1.71
ENSG00000236230	AL356108.1	529.6926	3.7762	0.1454	25.9702	1.076E-148	9.093E-147	69.7400	74.4455	1022.9838	951.6010	1.12	0.43
ENSG00000091428	RAPGEF4	692.5261	-2.8532	0.1101	-25.9253	3.454E-148	2.885E-146	1277.2391	1155.9730	179.8973	156.9949	1.89	0.45
ENSG00000152208	GRID2	1297.4113	-7.7974	0.3019	-25.8272	4.393E-147	3.628E-145	2632.1885	2534.2485	9.7242	13.4842	0.00	0.00
ENSG00000177694	NAALADL2	1331.2342	2.1396	0.0833	25.6708	2.480E-145	2.025E-143	511.0949	473.5560	2256.0098	2084.2760	2.37	0.78
ENSG00000124203	ZNF831	1058.5809	-7.3314	0.2857	-25.6583	3.418E-145	2.761E-143	2134.0453	2074.1340	14.5863	11.5579	0.00	0.01
ENSG00000105953	OGDH	546.1052	4.8732	0.1900	25.6483	4.412E-145	3.524E-143	30.8849	41.3586	1109.5290	1002.6485	50.01	74.32
ENSG00000140481	CCDC33	649.8237	-2.8608	0.1119	-25.5623	4.005E-144	3.165E-142	1186.5770	1098.0709	170.1732	144.4738	0.03	0.00
ENSG00000243156	MICAL3	665.0500	5.8393	0.2287	25.5351	8.040E-144	6.287E-142	22.9146	22.7472	1370.1370	1244.4014	126.64	39.44
ENSG00000008197	TFAP2D	545.1452	-3.1791	0.1245	-25.5253	1.032E-143	7.987E-142	978.3532	985.3687	116.6902	100.1685	0.00	0.00
ENSG00000148948	LRRC4C	492.0376	3.9878	0.1568	25.4272	1.263E-142	9.668E-141	58.7809	57.9020	939.3558	912.1115	0.00	0.00
ENSG00000198010	DLGAP2	751.7535	-2.5172	0.0997	-25.2580	9.250E-141	7.009E-139	1234.3988	1325.5433	219.7665	227.3055	0.00	0.04
ENSG00000206120	EGFEM1P	552.5965	-5.4818	0.2192	-25.0107	4.673E-138	3.469E-136	1121.8184	1040.1689	25.2829	23.1158	0.20	0.00
ENSG00000293389	ENSG00000293389	552.5965	-5.4818	0.2192	-25.0107	4.673E-138	3.469E-136	1121.8184	1040.1689	25.2829	23.1158	4.20	0.37
ENSG00000205592	MUC19	725.4813	-2.4868	0.0999	-24.8885	9.906E-137	7.281E-135	1267.2762	1195.2637	221.7113	217.6739	0.00	0.11
ENSG00000257523	LINC02326	563.1912	5.4398	0.2192	24.8112	6.792E-136	4.943E-134	27.8960	22.7472	1148.4257	1053.6959	0.00	0.00
ENSG00000196151	WDSUB1	467.3636	4.4429	0.1801	24.6723	2.123E-134	1.530E-132	44.8329	37.2227	886.8452	900.5536	14.11	4.55
ENSG00000151789	ZNF385D	934.1259	-2.1725	0.0883	-24.6114	9.544E-134	6.810E-132	1569.1510	1488.9098	343.2636	335.1793	0.12	0.00
ENSG00000196090	PTPRT	585.2322	2.8967	0.1177	24.6071	1.061E-133	7.498E-132	132.5061	144.7551	1072.5771	991.0906	0.00	0.00
ENSG00000078114	NEBL	533.3150	3.0670	0.1248	24.5695	2.674E-133	1.872E-131	104.6101	123.0418	960.7490	944.8589	0.00	0.01
ENSG00000091262	ABCC6	447.3005	-4.4295	0.1808	-24.5040	1.339E-132	9.287E-131	884.7023	825.1042	43.7588	35.6369	0.09	0.06
ENSG00000120594	PLXDC2	634.8754	-6.1677	0.2518	-24.4975	1.570E-132	1.079E-130	1247.3505	1257.3016	18.4759	16.3737	0.00	0.00
ENSG00000073910	FRY	598.1524	-5.9635	0.2438	-24.4642	3.552E-132	2.417E-130	1216.4656	1138.3956	19.4484	18.3000	2.54	1.32
ENSG00000285579	AC015687.1	475.3371	-4.8468	0.1984	-24.4267	8.902E-132	6.003E-130	981.3420	856.1231	33.0622	30.8211	0.00	0.00
ENSG00000137628	DDX60	446.1497	-4.6424	0.1905	-24.3646	4.060E-131	2.713E-129	859.7951	856.1231	31.1174	37.5632	1.49	0.91
ENSG00000128512	DOCK4	795.0585	6.7422	0.2781	24.2418	8.074E-130	5.346E-128	13.9480	15.5095	1648.2486	1502.5280	7.93	2.41
ENSG00000176204	LRRTM4	453.8411	-3.4928	0.1442	-24.2273	1.148E-129	7.533E-128	806.9919	860.2590	78.7659	69.3474	0.00	0.00
ENSG00000133424	LARGE1	466.5881	-3.2889	0.1363	-24.1316	1.166E-128	7.582E-127	862.7840	830.2740	93.3521	79.9422	13.69	6.48
ENSG00000236212	AC009262.1	1265.5661	-1.9104	0.0792	-24.1072	2.101E-128	1.355E-126	1991.5764	2006.9263	551.3610	512.4006	0.00	0.00
ENSG00000284959	AC007262.2	906.0221	7.1482	0.2971	24.0626	6.163E-128	3.939E-126	11.9554	13.4415	1855.3736	1743.3177	1.25	0.46
ENSG00000049130	KITLG	1347.3200	8.1217	0.3380	24.0267	1.465E-127	9.280E-126	11.9554	7.2378	2781.1156	2588.9713	6.11	7.46
ENSG00000142192	APP	942.0432	-7.3950	0.3092	-23.9164	2.069E-126	1.300E-124	1944.7509	1801.1672	10.6966	11.5579	637.49	354.83
ENSG00000139734	DIAPH3	865.7496	-2.2519	0.0942	-23.9011	2.984E-126	1.859E-124	1505.3887	1356.5622	307.2841	293.7635	4.26	1.53
ENSG00000259986	AC103876.1	524.9359	-5.7344	0.2415	-23.7412	1.355E-124	8.367E-123	1031.1564	1029.8292	24.3105	14.4474	0.73	0.34
ENSG00000071073	MGAT4A	440.7630	4.2806	0.1805	23.7092	2.901E-124	1.777E-122	40.8477	45.4945	894.6246	782.0851	1.75	3.59
ENSG00000183166	CALN1	474.0674	3.1514	0.1331	23.6842	5.249E-124	3.189E-122	92.6546	99.2607	864.4796	839.8746	0.02	0.00
ENSG00000230309	AL121718.1	1155.0774	2.0164	0.0855	23.5883	5.086E-123	3.064E-121	488.1803	427.0276	1903.9945	1801.1072	0.00	0.00
ENSG00000133083	DCLK1	865.0340	2.1327	0.0909	23.4542	1.196E-121	7.149E-120	314.8265	327.7669	1447.9304	1369.6120	15.32	5.63
ENSG00000054654	SYNE2	444.5073	3.3457	0.1428	23.4252	2.368E-121	1.404E-119	88.6695	70.3096	807.1070	811.9430	16.71	3.37
ENSG00000157570	TSPAN18	802.5453	-7.1005	0.3032	-23.4206	2.636E-121	1.550E-119	1631.9170	1555.0835	6.8069	16.3737	0.09	0.00
ENSG00000228999	LINC01830	427.2107	3.4747	0.1490	23.3244	2.508E-120	1.463E-118	73.7252	67.2077	797.3828	770.5272	0.00	0.00
ENSG00000132837	DMGDH	541.3392	-5.9347	0.2550	-23.2734	8.243E-120	4.771E-118	1133.7739	996.7424	17.5035	17.3369	0.53	0.00
ENSG00000166833	NAV2	1690.6808	8.7920	0.3787	23.2155	3.174E-119	1.823E-117	5.9777	9.3057	3492.9256	3254.5141	36.01	4.88
ENSG00000006715	VPS41	433.1880	4.9095	0.2120	23.1558	1.272E-118	7.247E-117	31.8812	23.7812	833.3622	843.7272	60.27	44.62
ENSG00000178568	ERBB4	930.2736	-2.0026	0.0865	-23.1482	1.517E-118	8.579E-117	1499.4109	1478.5701	357.8498	385.2636	0.50	0.32
ENSG00000234207	LINC03116	399.5563	4.0614	0.1758	23.0963	5.040E-118	2.828E-116	44.8329	45.4945	766.2654	741.6324	0.00	0.00
ENSG00000196376	SLC35F1	499.8646	5.6300	0.2446	23.0177	3.097E-117	1.725E-115	19.9257	19.6453	996.7285	963.1590	4.11	1.54
ENSG00000293385	ENSG00000293385	476.6649	-2.8501	0.1248	-22.8377	1.935E-115	1.070E-113	863.7803	810.6286	114.7453	117.5054	1.38	0.26
ENSG00000232046	LINC01798	849.8048	-2.0844	0.0927	-22.4863	5.658E-112	3.103E-110	1333.0311	1417.5662	347.1532	301.4688	0.09	0.00
ENSG00000113638	TTC33	366.3130	-3.8532	0.1716	-22.4609	1.001E-111	5.451E-110	699.3930	671.0434	44.7312	50.0843	15.36	7.97
ENSG00000072952	IRAG1	399.2611	4.6824	0.2089	22.4138	2.890E-111	1.562E-109	31.8812	27.9171	813.9139	723.3324	0.01	0.00
ENSG00000230876	LINC00486	2720.9758	-2.0449	0.0914	-22.3770	6.592E-111	3.537E-109	4072.8186	4687.9978	1142.5912	980.4958	0.00	0.00
ENSG00000141367	CLTC	364.7776	-4.2356	0.1894	-22.3672	8.217E-111	4.376E-109	711.3484	674.1453	43.7588	29.8579	101.93	131.44
ENSG00000285713	AC098588.1	365.8349	-4.2010	0.1882	-22.3168	2.538E-110	1.342E-108	730.2779	657.6018	35.0070	40.4527	0.05	0.04
ENSG00000197125	OR8B8	355.2726	-4.0426	0.1819	-22.2259	1.931E-109	1.014E-107	662.5304	677.2471	42.7864	38.5264	0.00	0.00
ENSG00000280828	AC090114.3	706.6533	6.9727	0.3171	21.9907	3.531E-107	1.841E-105	10.9591	11.3736	1471.2685	1333.0120	3.36	1.01
ENSG00000242428	CFAP20DC-AS1	359.5985	3.9348	0.1791	21.9660	6.096E-107	3.133E-105	44.8329	43.4265	685.5547	664.5797	0.00	0.00
ENSG00000163689	CFAP20DC	359.5985	3.9348	0.1791	21.9660	6.096E-107	3.133E-105	44.8329	43.4265	685.5547	664.5797	1.91	0.65
ENSG00000198089	SFI1	364.5197	4.3310	0.1976	21.9235	1.552E-106	7.922E-105	32.8774	36.1888	722.5066	666.5060	7.86	3.52
ENSG00000250971	AC108474.1	573.6285	-6.5525	0.2995	-21.8812	3.923E-106	1.988E-104	1181.5956	1088.7653	7.7793	16.3737	0.00	0.00
ENSG00000171587	DSCAM	2258.1868	-1.5812	0.0730	-21.6521	5.807E-104	2.924E-102	3482.0208	3288.0090	1139.6739	1123.0433	0.00	0.00
ENSG00000042781	USH2A	514.7165	-2.5305	0.1170	-21.6360	8.229E-104	4.114E-102	917.5797	837.5117	141.0006	162.7739	0.02	0.02
ENSG00000148541	FAM13C	492.5486	-6.1642	0.2850	-21.6320	8.976E-104	4.458E-102	1005.2529	937.8064	17.5035	9.6316	0.76	0.41
ENSG00000186153	WWOX	346.1130	-4.6721	0.2168	-21.5530	4.963E-103	2.448E-101	671.4970	660.7037	25.2829	26.9685	7.55	6.10
ENSG00000259867	DYNLRB2-AS1	344.9636	-4.6127	0.2141	-21.5450	5.900E-103	2.891E-101	679.4673	646.2282	23.3380	30.8211	0.19	0.18
ENSG00000132359	RAP1GAP2	1067.5112	1.8034	0.0839	21.4970	1.662E-102	8.089E-101	472.2397	478.7258	1723.1247	1595.9544	0.37	0.09
ENSG00000133812	SBF2	376.8111	-5.1736	0.2420	-21.3783	2.129E-101	1.030E-99	782.0848	684.4849	23.3380	17.3369	25.23	5.06
ENSG00000106052	TAX1BP1	748.9686	-7.4176	0.3477	-21.3360	5.266E-101	2.530E-99	1459.5595	1518.8947	8.7518	8.6684	149.81	97.80
ENSG00000140443	IGF1R	340.8430	3.7655	0.1771	21.2626	2.523E-100	1.204E-98	43.8366	49.6303	655.4098	614.4954	39.29	12.03
ENSG00000151812	SLC35F4	573.5168	6.6041	0.3108	21.2496	3.325E-100	1.576E-98	10.9591	12.4076	1168.8465	1101.8538	0.03	0.00
ENSG00000047617	ANO2	464.6926	-2.5507	0.1201	-21.2337	4.661E-100	2.196E-98	774.1145	813.7305	130.3040	140.6212	0.10	0.37
ENSG00000258028	LOC107984685	2199.7782	-1.5814	0.0745	-21.2203	6.207E-100	2.906E-98	3351.5072	3243.5485	1149.3981	1054.6591	0.00	0.00
ENSG00000105810	CDK6	439.7123	-2.6754	0.1264	-21.1650	2.009E-99	9.346E-98	740.2407	780.6437	107.9384	130.0265	13.98	2.06
ENSG00000261404	PSMD7-DT	557.2704	6.5622	0.3107	21.1217	5.029E-99	2.325E-97	10.9591	12.4076	1121.1980	1084.5170	0.03	0.30
ENSG00000132561	MATN2	369.3800	-5.2921	0.2506	-21.1161	5.657E-99	2.598E-97	726.2927	714.4699	16.5311	20.2263	3.33	2.24
ENSG00000164162	ANAPC10	325.9770	-4.0251	0.1911	-21.0576	1.949E-98	8.898E-97	653.5638	574.8846	35.0070	40.4527	8.70	8.13
ENSG00000182667	NTM	825.4117	-7.7296	0.3677	-21.0190	4.391E-98	1.992E-96	1689.7016	1596.4421	9.7242	5.7790	0.21	0.00
ENSG00000151320	AKAP6	829.0476	-7.7356	0.3689	-20.9695	1.245E-97	5.614E-96	1550.2215	1750.5029	5.8345	9.6316	1.30	0.05
ENSG00000102572	STK24	323.6491	-4.6867	0.2248	-20.8483	1.580E-96	7.079E-95	621.6827	624.5149	25.2829	23.1158	122.61	58.94
ENSG00000236790	LINC00299	330.8454	3.8971	0.1869	20.8462	1.651E-96	7.356E-95	38.8552	44.4605	657.3546	582.7112	0.03	0.00
ENSG00000105717	PBX4	428.2219	5.7881	0.2778	20.8348	2.092E-96	9.264E-95	13.9480	16.5434	884.9004	797.4956	10.66	2.41
ENSG00000089177	KIF16B	471.9037	-2.4376	0.1174	-20.7666	8.679E-96	3.820E-94	816.9548	776.5078	141.9730	152.1791	12.74	4.40
ENSG00000236548	RNF217-AS1	325.3567	3.7266	0.1799	20.7123	2.684E-95	1.174E-93	35.8663	55.8341	606.7888	602.9375	0.54	0.43
ENSG00000239828	CCDC54-AS1	1224.6249	-8.7170	0.4217	-20.6736	5.991E-95	2.606E-93	2450.8644	2436.0218	5.8345	5.7790	0.00	0.12
ENSG00000187672	ERC2	534.5120	-6.7033	0.3245	-20.6591	8.082E-95	3.494E-93	1062.0412	1055.6784	10.6966	9.6316	0.00	0.19
ENSG00000189056	RELN	719.7132	7.3742	0.3573	20.6393	1.218E-94	5.236E-93	11.9554	5.1698	1435.2890	1426.4384	0.15	0.15
ENSG00000136205	TNS3	673.5462	7.1945	0.3502	20.5460	8.351E-94	3.568E-92	7.9703	10.3397	1439.1787	1236.6961	69.74	15.35
